bundestag_id;nachname;vorname;wp;fraktion;full_name;twitter_handle;account_type;activity;;
11004258;Daldrup;Bernhard;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Bernhard Daldrup;BernhardDaldrup;person;1;;
11004699;Damerow;Astrid;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Astrid Damerow;NA;person;NA;;
11003068;Deligöz;Ekin;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Ekin Deligöz;ekindeligoez;person;1;;
11005038;Demir;Hakan;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Hakan Demir;HakanDemirNK;person;1;;
11005039;Detzer;Sandra;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Sandra Detzer;detzer_sandra;person;1;;
11004259;Diaby;Karamba;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Karamba Diaby;KarambaDiaby;person;1;;
11005040;Diedenhofen;Martin;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Martin Diedenhofen;MDiedenhofen;person;1;;
11005041;Dieren;Jan;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Jan Dieren;JanUlrichDieren;person;1;;
11005042;Dietz;Thomas;20;Alternative für Deutschland;Thomas Dietz;ThomasDietz_MdB;person;1;;
11004701;Dilcher;Esther;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Esther Dilcher;NA;person;NA;;
11004261;Dittmar;Sabine;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Sabine Dittmar;dittmarsabine;person;1;;
11004029;Djir-Sarai;Bijan;20;Fraktion der Freien Demokratischen Partei;Bijan Djir-Sarai;DjirSarai;person;1;;
11003516;Dobrindt;Alexander;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Alexander Dobrindt;NA;person;NA;;
11004703;Domscheit-Berg;Anke;20;Fraktion DIE LINKE.;Anke Domscheit-Berg;anked;person;1;;
11004262;Donth;Michael;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Michael Donth;NA;person;NA;;
11005043;Döring;Felix;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Felix Döring;NA;person;NA;;
11004263;Dröge;Katharina;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Katharina Dröge;katdro;person;1;;
11005044;Droßmann;Falko;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Falko Droßmann;NA;person;NA;;
11005045;Düring;Deborah;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Deborah Düring;DeborahDuering;person;1;;
11004705;Dürr;Christian;20;Fraktion der Freien Demokratischen Partei;Christian Dürr;christianduerr;person;1;;
11004264;Durz;Hansjörg;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Hansjörg Durz;Hansjoerg_Durz;person;1;;
11004215;Ebner;Harald;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Harald Ebner;ebner_sha;person;1;;
11005046;Echeverria;Axel;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Axel Echeverria;NA;person;NA;;
11005047;Eckert;Leon;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Leon Eckert;Leckert_;person;1;;
11005048;Edelhäußer;Ralph;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Ralph Edelhäußer;NA;person;NA;;
11004707;Ehrhorn;Thomas;20;Alternative für Deutschland;Thomas Ehrhorn;Thomas_Ehrhorn;person;1;;
11005049;Eichwede;Sonja;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Sonja Eichwede;sonjaeichwede;person;1;;
11004969;Emmerich;Marcel;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Marcel Emmerich;herr_emmerich;person;1;;
11005050;Engelhard;Alexander;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Alexander Engelhard;NA;person;NA;;
11005051;Engelhardt;Heike;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Heike Engelhardt;HERavensburg;person;1;;
11005052;Englhardt-Kopf;Martina;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Martina Englhardt-Kopf;EnglhardtKopf;person;0;;
11004709;Erndl;Thomas;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Thomas Erndl;TErndl;person;1;;
11003753;Ernst;Klaus;20;Fraktion DIE LINKE.;Klaus Ernst;ernst_klaus;person;1;;
