,bundestag_id,nachname,vorname,wp,fraktion,full_name,twitter_handle,account_type,activity
297,11004778,Keuter,Stefan,20,AFD,Stefan Keuter,StefanKeuterAfD,person,1.0
298,11005104,Khan,Misbah,20,Gruene,Misbah Khan,Bina_Khan_,person,1.0
299,11004779,Kießling,Michael,20,CDU,Michael Kießling,Kiessling_MdB,person,1.0
300,11004068,Kiesewetter,Roderich,20,CDU,Roderich Kiesewetter,RKiesewetter,person,1.0
301,11004070,Kindler,Sven-Christian,20,Gruene,Sven-Christian Kindler,sven_kindler,person,1.0
304,11004328,Kiziltepe,Cansel,20,SPD,Cansel Kiziltepe,CanselK,person,1.0
305,11005105,Kleebank,Helmut,20,SPD,Helmut Kleebank,helmut_kleebank,person,0.0
306,11004071,Klein,Volkmar,20,CDU,Volkmar Klein,VolkmarKlein,person,0.0
307,11004780,Klein,Karsten,20,FDP,Karsten Klein,MdBKlein,person,1.0
308,11005106,Klein,Ottilie,20,CDU,Ottilie Klein,Ottilie_Klein,person,1.0
309,11004072,Klein-Schmeink,Maria,20,Gruene,Maria Klein-Schmeink,MariaKlSchmeink,person,1.0
310,11004781,Kleinwächter,Norbert,20,AFD,Norbert Kleinwächter,NKleinwaechter,person,1.0
312,11003715,Klingbeil,Lars,20,SPD,Lars Klingbeil,larsklingbeil,person,1.0
313,11003566,Klöckner,Julia,20,CDU,Julia Klöckner,JuliaKloeckner,person,1.0
314,11005108,Klose,Annika,20,SPD,Annika Klose,AnniKlose,person,1.0
315,11004784,Kluckert,Daniela,20,FDP,Daniela Kluckert,DanielaKluckert,person,1.0
316,11005109,Klüssendorf,Tim,20,SPD,Tim Klüssendorf,timkluessendorf,person,0.0
317,11004073,Knoerig,Axel,20,CDU,Axel Knoerig,axel_knoerig,person,1.0
318,11004075,Kober,Pascal,20,FDP,Pascal Kober,PascalKober,person,1.0
320,11003710,Kofler,Bärbel,20,SPD,Bärbel Kofler,BaerbelKofler,person,1.0
321,11004786,Köhler,Lukas,20,FDP,Lukas Köhler,koehler_fdp,person,0.0
322,11004787,Komning,Enrico,20,AFD,Enrico Komning,EnricoKomning,person,1.0
323,11004788,König,Jörn,20,AFD,Jörn König,JoernKoenigAfD,person,0.0
324,11005110,König,Anne,20,CDU,Anne König,AnneKoenig_,person,1.0
325,11004789,Konrad,Carina,20,FDP,Carina Konrad,carina_konrad,person,1.0
326,11004331,Koob,Markus,20,CDU,Markus Koob,KoobMar,person,0.0
327,11005111,Kopf,Chantal,20,Gruene,Chantal Kopf,chantal_kopf,person,1.0
328,11004332,Körber,Carsten,20,CDU,Carsten Körber,CarstenKoerber,person,1.0
329,11003790,Korte,Jan,20,Linke,Jan Korte,jankortemdb,person,1.0
330,11005112,Koß,Simona,20,SPD,Simona Koß,SimonaMdB,person,1.0
331,11004791,Kotré,Steffen,20,AFD,Steffen Kotré,SteffenKotre,person,1.0
332,11004792,Kraft,Rainer,20,AFD,Rainer Kraft,Dr_Rainer_Kraft,person,1.0
333,11005113,Kraft,Laura,20,Gruene,Laura Kraft,laura_kraft_,person,1.0
334,11005114,Krämer,Philip,20,Gruene,Philip Krämer,PhiKraemer,person,1.0
335,11003162,Kramme,Anette,20,SPD,Anette Kramme,AnetteKramme,person,0.0
337,11003573,Krichbaum,Gunther,20,CDU,Gunther Krichbaum,GuntherKrichba3,person,1.0
338,11003574,Krings,Günter,20,CDU,Günter Krings,guenterkrings,person,1.0
339,11004081,Krischer,Oliver,20,Gruene,Oliver Krischer,Oliver_Krischer,person,1.0
340,11005116,Kröber,Martin,20,SPD,Martin Kröber,MartinKroeber,person,0.0
341,11005117,Kruse,Michael,20,FDP,Michael Kruse,krusehamburg,person,1.0
342,11005118,Kuban,Tilman,20,CDU,Tilman Kuban,TKuban96,person,1.0
344,11004796,Kuhle,Konstantin,20,FDP,Konstantin Kuhle,KonstantinKuhle,person,1.0
