Id;Fraktion
larscastellucci;Fraktion der Sozialdemokratischen Partei Deutschlands
BernhardDaldrup;Fraktion der Sozialdemokratischen Partei Deutschlands
KarambaDiaby;Fraktion der Sozialdemokratischen Partei Deutschlands
dittmarsabine;Fraktion der Sozialdemokratischen Partei Deutschlands
katdro;Fraktion BÜNDNIS 90/DIE GRÜNEN
Hansjoerg_Durz;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
EskenSaskia;Fraktion der Sozialdemokratischen Partei Deutschlands
thorsten_frei;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
MatthiasGastel;Fraktion BÜNDNIS 90/DIE GRÜNEN
UliGroetsch;Fraktion der Sozialdemokratischen Partei Deutschlands
FGuentzler;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
ChristianHaase6;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
RitaHaglKehl;Fraktion der Sozialdemokratischen Partei Deutschlands
MetinHakverdi;Fraktion der Sozialdemokratischen Partei Deutschlands
sebast_hartmann;Fraktion der Sozialdemokratischen Partei Deutschlands
MatthiasHauer;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
StHeck;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
GaHeinrich;Fraktion der Sozialdemokratischen Partei Deutschlands
ThomasHitschler;Fraktion der Sozialdemokratischen Partei Deutschlands
Hoffmann_MdB;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
DJanecek;Fraktion BÜNDNIS 90/DIE GRÜNEN
jungeinberlin;Fraktion der Sozialdemokratischen Partei Deutschlands
AnjaKarliczek;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
GabyKatzmarek;Fraktion der Sozialdemokratischen Partei Deutschlands
CanselK;Fraktion der Sozialdemokratischen Partei Deutschlands
CarstenKoerber;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
ChrisKuehn_mdb;Fraktion BÜNDNIS 90/DIE GRÜNEN
SilkeLaunert;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
KLeikert;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
DerLenzMdB;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
AndreaLindholz;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
YvonneMagwas;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
IreneMihalic;Fraktion BÜNDNIS 90/DIE GRÜNEN
BetMueller;Fraktion der Sozialdemokratischen Partei Deutschlands
Mi_Muentefering;Fraktion der Sozialdemokratischen Partei Deutschlands
Florian_Ossner;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
oezdemir_spd;Fraktion der Sozialdemokratischen Partei Deutschlands
Achim_P;Fraktion der Sozialdemokratischen Partei Deutschlands
AlexanderRadwan;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
AloisRainer;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
MartinaRenner;Fraktion DIE LINKE.
Andreas_Rimkus;Fraktion der Sozialdemokratischen Partei Deutschlands
MartinRosemann;Fraktion der Sozialdemokratischen Partei Deutschlands
crueffer;Fraktion BÜNDNIS 90/DIE GRÜNEN
Johann_Saathoff;Fraktion der Sozialdemokratischen Partei Deutschlands
ulle_schauws;Fraktion BÜNDNIS 90/DIE GRÜNEN
NinaScheer_SPD;Fraktion der Sozialdemokratischen Partei Deutschlands
JanaSchimke;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
dieschmidt;Fraktion der Sozialdemokratischen Partei Deutschlands
K_SA;Fraktion BÜNDNIS 90/DIE GRÜNEN
Schwarz_MdB;Fraktion der Sozialdemokratischen Partei Deutschlands
TinoSorge;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
stadler_svenja;Fraktion der Sozialdemokratischen Partei Deutschlands
stamm_fibich;Fraktion der Sozialdemokratischen Partei Deutschlands
StefingerMdB;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
StegemannAlbert;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
JoSteiniger;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
michael_thews;Fraktion der Sozialdemokratischen Partei Deutschlands
CarstenTraeger;Fraktion der Sozialdemokratischen Partei Deutschlands
VolkerUllrich;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
julia_verlinden;Fraktion BÜNDNIS 90/DIE GRÜNEN
