source_screen_name;source_id;target_screen_name;target_id;following;api_call
GregorGysi;888289790;reinhardbrandl;262730721;False;2022-05-27 15:53:48.998720
reinhardbrandl;262730721;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;HeikeBrehmerMdB;150372237;False;2022-05-27 15:53:48.998720
HeikeBrehmerMdB;150372237;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;rbrinkhaus;38001527;False;2022-05-27 15:53:48.998720
rbrinkhaus;38001527;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;MarcoBuschmann;106136813;False;2022-05-27 15:53:48.998720
MarcoBuschmann;106136813;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;DjirSarai;960463104537657344;False;2022-05-27 15:53:48.998720
DjirSarai;960463104537657344;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;FrankeEdgar;481393623;False;2022-05-27 15:53:48.998720
FrankeEdgar;481393623;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;MichaelFrieser;4577700622;False;2022-05-27 15:53:48.998720
MichaelFrieser;4577700622;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;gadechens;1157298670745899014;False;2022-05-27 15:53:48.998720
gadechens;1157298670745899014;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;thomasgebhart;51483238;False;2022-05-27 15:53:48.998720
thomasgebhart;51483238;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;GerdesMdB;2468956470;False;2022-05-27 15:53:48.998720
GerdesMdB;2468956470;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;NicoleGohlke;866425075;False;2022-05-27 15:53:48.998720
NicoleGohlke;866425075;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;hahnflo;403735368;False;2022-05-27 15:53:48.998720
hahnflo;403735368;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;juergenhardt;38467606;False;2022-05-27 15:53:48.998720
juergenhardt;38467606;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;MechthildHeil;974367631;False;2022-05-27 15:53:48.998720
MechthildHeil;974367631;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;ManuelHoeferlin;17483463;False;2022-05-27 15:53:48.998720
ManuelHoeferlin;17483463;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;AndrejHunko;87281380;False;2022-05-27 15:53:48.998720
AndrejHunko;87281380;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;tj_tweets;37105136;False;2022-05-27 15:53:48.998720
tj_tweets;37105136;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;KaczmarekOliver;231440493;False;2022-05-27 15:53:48.998720
KaczmarekOliver;231440493;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;KatjaKeul;959105406416162823;False;2022-05-27 15:53:48.998720
KatjaKeul;959105406416162823;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;RKiesewetter;42698498;False;2022-05-27 15:53:48.998720
RKiesewetter;42698498;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;sven_kindler;17343047;False;2022-05-27 15:53:48.998720
sven_kindler;17343047;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;VolkmarKlein;33043294;False;2022-05-27 15:53:48.998720
VolkmarKlein;33043294;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;MariaKlSchmeink;18103366;False;2022-05-27 15:53:48.998720
MariaKlSchmeink;18103366;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;axel_knoerig;928974816220254208;False;2022-05-27 15:53:48.998720
axel_knoerig;928974816220254208;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;PascalKober;19909974;False;2022-05-27 15:53:48.998720
PascalKober;19909974;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;Oliver_Krischer;88630242;False;2022-05-27 15:53:48.998720
Oliver_Krischer;88630242;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;UlrichLange;68172699;False;2022-05-27 15:53:48.998720
UlrichLange;68172699;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;CarenLay;21404382;True;2022-05-27 15:53:48.998720
CarenLay;21404382;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;RLenkert;1480579733494640642;False;2022-05-27 15:53:48.998720
RLenkert;1480579733494640642;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;LFLindemann;96146500;False;2022-05-27 15:53:48.998720
LFLindemann;96146500;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;c_lindner;122104353;True;2022-05-27 15:53:48.998720
c_lindner;122104353;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;JM_Luczak;22908417;False;2022-05-27 15:54:25.463934
JM_Luczak;22908417;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;OlliLuksic;21144568;False;2022-05-27 15:54:25.463934
OlliLuksic;21144568;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;thlutze;3667108397;False;2022-05-27 15:54:25.463934
thlutze;3667108397;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;AMattfeldt;23447001;False;2022-05-27 15:54:25.463934
AMattfeldt;23447001;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;Conni_Moehring;2596171296;False;2022-05-27 15:54:25.463934
Conni_Moehring;2596171296;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;NadineSchoen;41840905;False;2022-05-27 15:54:25.463934
NadineSchoen;41840905;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;GrueneBeate;53426644;False;2022-05-27 15:54:25.463934
GrueneBeate;53426644;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;Ingrid_Nestle;44359035;False;2022-05-27 15:54:25.463934
Ingrid_Nestle;44359035;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;KonstantinNotz;17752770;False;2022-05-27 15:54:25.463934
KonstantinNotz;17752770;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;oezoguz;83342791;False;2022-05-27 15:54:25.463934
oezoguz;83342791;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;lisapaus;569166756;False;2022-05-27 15:54:25.463934
lisapaus;569166756;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;Erwin_Rueddel;33071479;False;2022-05-27 15:54:25.463934
Erwin_Rueddel;33071479;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;Pschnieder;368334555;False;2022-05-27 15:54:25.463934
Pschnieder;368334555;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;s_schwartze;1117526742;False;2022-05-27 15:54:25.463934
s_schwartze;1117526742;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;StephanThomae;75005687;False;2022-05-27 15:54:25.463934
StephanThomae;75005687;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;check;12765;False;2022-05-27 15:54:25.463934
check;12765;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;voglerk;21287514;True;2022-05-27 15:54:25.463934
voglerk;21287514;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;JoWadephul;389682667;False;2022-05-27 15:54:25.463934
JoWadephul;389682667;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;SWagenknecht;47375691;True;2022-05-27 15:54:25.463934
SWagenknecht;47375691;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;ebner_sha;52431948;False;2022-05-27 15:54:25.463934
ebner_sha;52431948;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;tobiaslindner;21197524;False;2022-05-27 15:54:25.463934
tobiaslindner;21197524;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;TeamBeate;943468370;False;2022-05-27 15:54:25.463934
TeamBeate;943468370;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;MTodtenhausen;563706584;False;2022-05-27 15:54:25.463934
MTodtenhausen;563706584;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;HellmichMdB;786498202832822272;False;2022-05-27 15:54:25.463934
HellmichMdB;786498202832822272;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;reinholdmdb;925657781759332353;False;2022-05-27 15:54:25.463934
reinholdmdb;925657781759332353;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;ABaerbock;1469264387512979461;False;2022-05-27 15:54:25.463934
ABaerbock;1469264387512979461;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;MdB_Ulrike_Bahr;724565991104110592;False;2022-05-27 15:54:25.463934
MdB_Ulrike_Bahr;724565991104110592;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;fbrantner;32323724;False;2022-05-27 15:54:25.463934
fbrantner;32323724;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;larscastellucci;17469649;False;2022-05-27 15:54:25.463934
larscastellucci;17469649;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;KarambaDiaby;316355056;False;2022-05-27 15:54:25.463934
KarambaDiaby;316355056;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;dittmarsabine;1872648764;False;2022-05-27 15:54:25.463934
dittmarsabine;1872648764;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;katdro;15722010;False;2022-05-27 15:54:25.463934
katdro;15722010;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;Hansjoerg_Durz;1662533040;False;2022-05-27 15:54:25.463934
Hansjoerg_Durz;1662533040;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;EskenSaskia;1423622834;False;2022-05-27 15:54:25.463934
EskenSaskia;1423622834;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;FechnerJohannes;1105754727101485058;False;2022-05-27 15:54:25.463934
FechnerJohannes;1105754727101485058;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;UweFe;47151012;False;2022-05-27 15:54:25.463934
UweFe;47151012;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;thorsten_frei;1181598578508214272;False;2022-05-27 15:54:25.463934
thorsten_frei;1181598578508214272;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;MatthiasGastel;727782559;False;2022-05-27 15:54:25.463934
MatthiasGastel;727782559;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;UliGroetsch;867351565757239296;False;2022-05-27 15:54:25.463934
UliGroetsch;867351565757239296;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;FGuentzler;779601750789656576;False;2022-05-27 15:54:25.463934
FGuentzler;779601750789656576;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;ChristianHaase6;1601699642;False;2022-05-27 15:54:25.463934
ChristianHaase6;1601699642;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;RitaHaglKehl;836553428042141697;False;2022-05-27 15:54:25.463934
RitaHaglKehl;836553428042141697;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;MetinHakverdi;1043288618;False;2022-05-27 15:54:25.463934
MetinHakverdi;1043288618;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;sebast_hartmann;1076269195;False;2022-05-27 15:54:25.463934
sebast_hartmann;1076269195;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;MatthiasHauer;1158585210;False;2022-05-27 15:54:25.463934
MatthiasHauer;1158585210;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;StHeck;2976064481;False;2022-05-27 15:54:25.463934
StHeck;2976064481;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;GaHeinrich;296121556;False;2022-05-27 15:54:25.463934
GaHeinrich;296121556;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;ThomasHitschler;292151515;False;2022-05-27 15:54:25.463934
ThomasHitschler;292151515;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;Hoffmann_MdB;1193816843519172608;False;2022-05-27 15:54:25.463934
Hoffmann_MdB;1193816843519172608;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;DJanecek;52024480;False;2022-05-27 15:54:25.463934
DJanecek;52024480;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;jungeinberlin;77928749;False;2022-05-27 15:54:25.463934
jungeinberlin;77928749;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;AnjaKarliczek;2521976694;False;2022-05-27 15:54:25.463934
AnjaKarliczek;2521976694;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;GabyKatzmarek;3017602065;False;2022-05-27 15:54:25.463934
GabyKatzmarek;3017602065;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
GregorGysi;888289790;CanselK;23248102;False;2022-05-27 15:54:25.463934
CanselK;23248102;GregorGysi;888289790;True;2022-05-27 15:54:25.463934
GregorGysi;888289790;KoobMar;2664174617;False;2022-05-27 15:54:25.463934
KoobMar;2664174617;GregorGysi;888289790;False;2022-05-27 15:54:25.463934
