"source_screen_name;source_id;target_screen_name;target_id;following;api_call"
"Bundeskanzler;1489164711652466688;MichaelFrieser;4577700622;False;2022-06-15 10:35:11.928079"
"MichaelFrieser;4577700622;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:11.928079"
"Bundeskanzler;1489164711652466688;gadechens;1157298670745899014;False;2022-06-15 10:35:12.260593"
"gadechens;1157298670745899014;Bundeskanzler;1489164711652466688;True;2022-06-15 10:35:12.260593"
"Bundeskanzler;1489164711652466688;thomasgebhart;51483238;False;2022-06-15 10:48:12.839362"
"thomasgebhart;51483238;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:12.839362"
"Bundeskanzler;1489164711652466688;GerdesMdB;2468956470;False;2022-06-15 10:48:13.351227"
"GerdesMdB;2468956470;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:13.351227"
"Bundeskanzler;1489164711652466688;NicoleGohlke;866425075;False;2022-06-15 10:48:13.760581"
"NicoleGohlke;866425075;Bundeskanzler;1489164711652466688;True;2022-06-15 10:48:13.760581"
"Bundeskanzler;1489164711652466688;hahnflo;403735368;False;2022-06-15 10:48:14.095836"
"hahnflo;403735368;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:14.095836"
"Bundeskanzler;1489164711652466688;juergenhardt;38467606;False;2022-06-15 10:48:14.474643"
"juergenhardt;38467606;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:14.474643"
"Bundeskanzler;1489164711652466688;MechthildHeil;974367631;False;2022-06-15 10:48:14.886725"
"MechthildHeil;974367631;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:14.886725"
"Bundeskanzler;1489164711652466688;ManuelHoeferlin;17483463;False;2022-06-15 10:48:15.229428"
"ManuelHoeferlin;17483463;Bundeskanzler;1489164711652466688;True;2022-06-15 10:48:15.229428"
"Bundeskanzler;1489164711652466688;AndrejHunko;87281380;False;2022-06-15 10:48:15.705989"
"AndrejHunko;87281380;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:15.705989"
"Bundeskanzler;1489164711652466688;tj_tweets;37105136;False;2022-06-15 10:48:16.115695"
"tj_tweets;37105136;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:16.115695"
"Bundeskanzler;1489164711652466688;KaczmarekOliver;231440493;False;2022-06-15 10:48:16.525429"
"KaczmarekOliver;231440493;Bundeskanzler;1489164711652466688;True;2022-06-15 10:48:16.525429"
"Bundeskanzler;1489164711652466688;KatjaKeul;959105406416162823;False;2022-06-15 10:48:16.941607"
"KatjaKeul;959105406416162823;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:16.941607"
"Bundeskanzler;1489164711652466688;RKiesewetter;42698498;False;2022-06-15 10:48:17.343069"
"RKiesewetter;42698498;Bundeskanzler;1489164711652466688;True;2022-06-15 10:48:17.343069"
"Bundeskanzler;1489164711652466688;sven_kindler;17343047;False;2022-06-15 10:48:17.624556"
"sven_kindler;17343047;Bundeskanzler;1489164711652466688;True;2022-06-15 10:48:17.624556"
"Bundeskanzler;1489164711652466688;VolkmarKlein;33043294;False;2022-06-15 10:48:17.909422"
"VolkmarKlein;33043294;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:17.909422"
"Bundeskanzler;1489164711652466688;MariaKlSchmeink;18103366;False;2022-06-15 10:48:18.265972"
"MariaKlSchmeink;18103366;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:18.265972"
"Bundeskanzler;1489164711652466688;axel_knoerig;928974816220254208;False;2022-06-15 10:48:18.622104"
"axel_knoerig;928974816220254208;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:18.622104"
"Bundeskanzler;1489164711652466688;PascalKober;19909974;False;2022-06-15 10:48:18.983409"
"PascalKober;19909974;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:18.983409"
"Bundeskanzler;1489164711652466688;Oliver_Krischer;88630242;False;2022-06-15 10:48:19.397628"
"Oliver_Krischer;88630242;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:19.397628"
"Bundeskanzler;1489164711652466688;UlrichLange;68172699;False;2022-06-15 10:48:19.801748"
"UlrichLange;68172699;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:19.801748"
"Bundeskanzler;1489164711652466688;CarenLay;21404382;False;2022-06-15 10:48:20.313311"
"CarenLay;21404382;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:20.313311"
"Bundeskanzler;1489164711652466688;RLenkert;1480579733494640642;False;2022-06-15 10:48:20.606655"
"RLenkert;1480579733494640642;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:20.606655"
"Bundeskanzler;1489164711652466688;LFLindemann;96146500;False;2022-06-15 10:48:20.891137"
"LFLindemann;96146500;Bundeskanzler;1489164711652466688;True;2022-06-15 10:48:20.891137"
"Bundeskanzler;1489164711652466688;c_lindner;122104353;True;2022-06-15 10:48:21.203720"
"c_lindner;122104353;Bundeskanzler;1489164711652466688;True;2022-06-15 10:48:21.203720"
"Bundeskanzler;1489164711652466688;JM_Luczak;22908417;False;2022-06-15 10:48:21.595680"
"JM_Luczak;22908417;Bundeskanzler;1489164711652466688;True;2022-06-15 10:48:21.595680"
"Bundeskanzler;1489164711652466688;OlliLuksic;21144568;False;2022-06-15 10:48:21.964761"
"OlliLuksic;21144568;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:21.964761"
"Bundeskanzler;1489164711652466688;thlutze;3667108397;False;2022-06-15 10:48:22.422249"
"thlutze;3667108397;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:22.422249"
"Bundeskanzler;1489164711652466688;agnieszka_mdb;172269309;False;2022-06-15 10:48:22.827446"
"agnieszka_mdb;172269309;Bundeskanzler;1489164711652466688;True;2022-06-15 10:48:22.827446"
"Bundeskanzler;1489164711652466688;AMattfeldt;23447001;False;2022-06-15 10:48:23.182241"
"AMattfeldt;23447001;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:23.182241"
"Bundeskanzler;1489164711652466688;Conni_Moehring;2596171296;False;2022-06-15 10:48:23.652727"
"Conni_Moehring;2596171296;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:23.652727"
"Bundeskanzler;1489164711652466688;MdBMonstadt;1180102389275205632;False;2022-06-15 10:48:24.061612"
"MdBMonstadt;1180102389275205632;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:24.061612"
"Bundeskanzler;1489164711652466688;NadineSchoen;41840905;False;2022-06-15 10:48:24.412503"
"NadineSchoen;41840905;Bundeskanzler;1489164711652466688;True;2022-06-15 10:48:24.412503"
"Bundeskanzler;1489164711652466688;GrueneBeate;53426644;False;2022-06-15 10:48:24.887454"
"GrueneBeate;53426644;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:24.887454"
"Bundeskanzler;1489164711652466688;Ingrid_Nestle;44359035;False;2022-06-15 10:48:25.331204"
"Ingrid_Nestle;44359035;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:25.331204"
"Bundeskanzler;1489164711652466688;KonstantinNotz;17752770;False;2022-06-15 10:48:25.631592"
"KonstantinNotz;17752770;Bundeskanzler;1489164711652466688;True;2022-06-15 10:48:25.631592"
"Bundeskanzler;1489164711652466688;oezoguz;83342791;False;2022-06-15 10:48:25.945494"
"oezoguz;83342791;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:25.945494"
"Bundeskanzler;1489164711652466688;lisapaus;569166756;False;2022-06-15 10:48:26.331585"
"lisapaus;569166756;Bundeskanzler;1489164711652466688;True;2022-06-15 10:48:26.331585"
"Bundeskanzler;1489164711652466688;TabeaRoessner;53351462;False;2022-06-15 10:48:26.698604"
"TabeaRoessner;53351462;Bundeskanzler;1489164711652466688;True;2022-06-15 10:48:26.698604"
"Bundeskanzler;1489164711652466688;Erwin_Rueddel;33071479;False;2022-06-15 10:48:27.257099"
"Erwin_Rueddel;33071479;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:27.257099"
"Bundeskanzler;1489164711652466688;Pschnieder;368334555;False;2022-06-15 10:48:27.663376"
"Pschnieder;368334555;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:27.663376"
"Bundeskanzler;1489164711652466688;s_schwartze;1117526742;False;2022-06-15 10:48:28.179102"
"s_schwartze;1117526742;Bundeskanzler;1489164711652466688;True;2022-06-15 10:48:28.179102"
"Bundeskanzler;1489164711652466688;JudithSkudelny;948958759560376320;False;2022-06-15 10:48:28.537535"
"JudithSkudelny;948958759560376320;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:28.537535"
"Bundeskanzler;1489164711652466688;StephanThomae;75005687;False;2022-06-15 10:48:28.916736"
"StephanThomae;75005687;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:28.916736"
"Bundeskanzler;1489164711652466688;johannesvogel;15630931;False;2022-06-15 10:48:29.324569"
"johannesvogel;15630931;Bundeskanzler;1489164711652466688;True;2022-06-15 10:48:29.324569"
"Bundeskanzler;1489164711652466688;voglerk;21287514;False;2022-06-15 10:48:29.733699"
"voglerk;21287514;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:29.733699"
"Bundeskanzler;1489164711652466688;JoWadephul;389682667;False;2022-06-15 10:48:30.144207"
"JoWadephul;389682667;Bundeskanzler;1489164711652466688;True;2022-06-15 10:48:30.144207"
"Bundeskanzler;1489164711652466688;SWagenknecht;47375691;False;2022-06-15 10:48:30.553277"
"SWagenknecht;47375691;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:30.553277"
"Bundeskanzler;1489164711652466688;ebner_sha;52431948;False;2022-06-15 10:48:30.970890"
"ebner_sha;52431948;Bundeskanzler;1489164711652466688;False;2022-06-15 10:48:30.970890"
"Bundeskanzler;1489164711652466688;tobiaslindner;21197524;False;2022-06-15 10:48:31.271812"
