bundestag_id;twitter_handle;account_type
11004182;JoWadephul;person
11005245;WagenerNiklas;person
11005246;robinwagener;person
11004183;SWagenknecht;person
11005247;NA;person
11005248;yooHannes;person
11005249;Krawallstein;person
11005250;HannesWalterSPD;person
11004221;TeamBeate;person
11003655;wanderwitz;person
11004437;ninawarken;person
11004929;sandra_weeser;person
11005251;CarmenWegge;person
11005252;NA;person
11004930;Alice_Weidel;person
11004950;DrJoeWeingarten;person
11004440;anjaweisgerber;person
11005253;SaskiaLeaRaquel;person
11004187;NA;person
11005254;weisse_Lena;person
11005255;StefWenzel;person
11005256;thereallenzii;person
11004931;NicoleWestig;person
11004442;BerndWestphal4;person
11004932;h_weyel;person
11004443;Kai_Whittaker;person
11003259;AWidmannMauz;person
11004933;WolfgangWiehle;person
11005257;KlausWiener;person
11004444;DirkWieseSPD;person
11003264;NA;person
11003865;ElisabethWinke4;person
11005258;TobiasWINKLER_;person
11005259;TinaWinklmann;person
11004936;ChrWirthMdB;person
11003702;Wissing;person
11005260;Janine_Wissler;person
11004937;Witt_Uwe;person
11005261;NA;person
11005262;NA;person
11005263;MareikeWulf;person
11005264;JoachimWundrak;person
11004448;NA;person
11004452;NA;person
11005265;KayUweZiegler71;person
11004938;PaulZiemiak;person
11004453;zierke;person
11004603;JensZSPD;person
11005266;NZippelius;person
11005267;ArmandZorn;person
11005268;NA;person
