bundestag_id;nachname;vorname;wp;fraktion;twitter_handle;account_type
11004127;Paus;Lisa;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;lisapaus;person
11004136;Rief;Josef;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004138;Rößner;Tabea;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;TabeaRoessner;person
11004139;Rüddel;Erwin;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Erwin_Rueddel;person
11004146;Schnieder;Patrick;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Pschnieder;person
11004150;Schwartze;Stefan;20;Fraktion der Sozialdemokratischen Partei Deutschlands;s_schwartze;person
11004152;Seif;Detlef;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004159;Skudelny;Judith;20;Fraktion der Freien Demokratischen Partei;JudithSkudelny;person
11004168;Stier;Dieter;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004169;Stracke;Stephan;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004175;Thomae;Stephan;20;Fraktion der Freien Demokratischen Partei;StephanThomae;person
11004179;Vogel;Johannes;20;Fraktion der Freien Demokratischen Partei;johannesvogel;person
11004181;Vogler;Kathrin;20;Fraktion DIE LINKE.;voglerk;person
11004182;Wadephul;Johann David;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;JoWadephul;person
11004183;Wagenknecht;Sahra;20;Fraktion DIE LINKE.;SWagenknecht;person
11004187;Weiss;Sabine;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004215;Ebner;Harald;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;ebner_sha;person
11004217;Lindner;Tobias;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;tobiaslindner;person
11004221;Walter-Rosenheimer;Beate;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;TeamBeate;person
11004222;Todtenhausen;Manfred;20;Fraktion der Freien Demokratischen Partei;MTodtenhausen;person
11004226;Hellmich;Wolfgang;20;Fraktion der Sozialdemokratischen Partei Deutschlands;HellmichMdB;person
11004229;Reinhold;Hagen;20;Fraktion der Freien Demokratischen Partei;reinholdmdb;person
11004241;Albani;Stephan;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004243;Amtsberg;Luise;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;;person
11004244;Baehrens;Heike;20;Fraktion der Sozialdemokratischen Partei Deutschlands;;person
11004245;Baerbock;Annalena;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;ABaerbock;person
11004246;Bahr;Ulrike;20;Fraktion der Sozialdemokratischen Partei Deutschlands;MdB_Ulrike_Bahr;person
11004252;Berghegger;André;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004255;Brantner;Franziska;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;fbrantner;person
