bundestag_id;nachname;vorname;wp;fraktion
11004414;Stefinger;Wolfgang;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004415;Stegemann;Albert;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004418;Steiniger;Johannes;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004423;Tausend;Claudia;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004424;Thews;Michael;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004425;Timmermann-Fechter;Astrid;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004426;Träger;Carsten;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004427;Ullrich;Volker;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004429;Verlinden;Julia;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004433;Vöpel;Dirk;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004437;Warken;Nina;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004440;Weisgerber;Anja;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004442;Westphal;Bernd;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004443;Whittaker;Kai;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004444;Wiese;Dirk;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004448;Yüksel;Gülistan;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004452;Zeulner;Emmi;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004453;Zierke;Stefan;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004603;Zimmermann;Jens;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004605;Petry;Christian;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004614;Glöckner;Angelika;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004617;Kemmer;Ronja;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004622;Ryglewski;Sarah;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004639;Coße;Jürgen;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004645;Uhl;Markus;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004653;Akbulut;Gökay;20;Fraktion DIE LINKE.
11004654;Alt;Renata;20;Fraktion der Freien Demokratischen Partei
11004655;Altenkamp;Norbert Maria;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004656;Amthor;Philipp;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004659;Badum;Lisa;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004661;Bauer;Nicole;20;Fraktion der Freien Demokratischen Partei
11004662;Baumann;Bernd;20;Alternative für Deutschland
11004665;Bayram;Canan;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004666;Beeck;Jens;20;Fraktion der Freien Demokratischen Partei
11004667;In der Beek;Olaf;20;Fraktion der Freien Demokratischen Partei
11004669;Bernhard;Marc;20;Alternative für Deutschland
11004673;Biadacz;Marc;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004674;Bleck;Andreas;20;Alternative für Deutschland
11004675;Boehringer;Peter;20;Alternative für Deutschland
11004676;Brandenburg;Jens;20;Fraktion der Freien Demokratischen Partei
11004677;Brandenburg;Mario;20;Fraktion der Freien Demokratischen Partei
11004678;Brandner;Stephan;20;Alternative für Deutschland
11004680;Braun;Jürgen;20;Alternative für Deutschland
11004681;Breher;Silvia;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004682;Brehm;Sebastian;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004683;Breymaier;Leni;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004684;Brodesser;Carsten;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004686;Budde;Katrin;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004687;Bühl;Marcus;20;Alternative für Deutschland
11004690;Busen;Karlheinz;20;Fraktion der Freien Demokratischen Partei
11004692;Bystron;Petr;20;Alternative für Deutschland
11004694;Christmann;Anna;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004695;Chrupalla;Tino;20;Alternative für Deutschland
11004696;Cotar;Joana;20;Alternative für Deutschland
11004697;Cronenberg;Carl-Julius;20;Fraktion der Freien Demokratischen Partei
11004698;Curio;Gottfried;20;Alternative für Deutschland
11004699;Damerow;Astrid;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004701;Dilcher;Esther;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004703;Domscheit-Berg;Anke;20;Fraktion DIE LINKE.
11004705;Dürr;Christian;20;Fraktion der Freien Demokratischen Partei
11004707;Ehrhorn;Thomas;20;Alternative für Deutschland
11004709;Erndl;Thomas;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004710;Esdar;Wiebke;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004711;Espendiller;Michael;20;Alternative für Deutschland
11004712;Faber;Marcus;20;Fraktion der Freien Demokratischen Partei
11004713;Fahimi;Yasmin;20;Fraktion der Sozialdemokratischen Partei Deutschlands
